Date,Hour,Value
20180401,0,56
20180401,100,73
20180401,200,55
20180401,300,28
20180401,400,93
20180401,500,74
20180401,600,34
20180401,700,81
20180401,800,35
20180401,900,34
20180401,1000,74
20180401,1100,2
20180401,1200,98
20180401,1300,24
20180401,1400,65
20180401,1500,44
20180401,1600,57
20180401,1700,5
20180401,1800,33
20180401,1900,27
20180401,2000,87
20180401,2100,97
20180401,2200,71
20180401,2300,13
20180402,0,95
20180402,100,33
20180402,200,96
20180402,300,19
20180402,400,15
20180402,500,85
20180402,600,69
20180402,700,84
20180402,800,62
20180402,900,42
20180402,1000,63
20180402,1100,87
20180402,1200,8
20180402,1300,3
20180402,1400,65
20180402,1500,79
20180402,1600,73
20180402,1700,41
20180402,1800,27
20180402,1900,64
20180402,2000,85
20180402,2100,98
20180402,2200,67
20180402,2300,54
20180403,0,14
20180403,100,10
20180403,200,95
20180403,300,20
20180403,400,5
20180403,500,49
20180403,600,66
20180403,700,95
20180403,800,46
20180403,900,48
20180403,1000,35
20180403,1100,1
20180403,1200,25
20180403,1300,84
20180403,1400,45
20180403,1500,51
20180403,1600,56
20180403,1700,76
20180403,1800,90
20180403,1900,11
20180403,2000,60
20180403,2100,2
20180403,2200,36
20180403,2300,61
20180404,0,81
20180404,100,50
20180404,200,92
20180404,300,2
20180404,400,44
20180404,500,37
20180404,600,64
20180404,700,89
20180404,800,94
20180404,900,33
20180404,1000,48
20180404,1100,80
20180404,1200,36
20180404,1300,56
20180404,1400,5
20180404,1500,2
20180404,1600,86
20180404,1700,53
20180404,1800,15
20180404,1900,87
20180404,2000,37
20180404,2100,35
20180404,2200,22
20180404,2300,39
20180405,0,53
20180405,100,51
20180405,200,37
20180405,300,1
20180405,400,10
20180405,500,78
20180405,600,0
20180405,700,70
20180405,800,11
20180405,900,43
20180405,1000,3
20180405,1100,22
20180405,1200,80
20180405,1300,62
20180405,1400,45
20180405,1500,74
20180405,1600,43
20180405,1700,87
20180405,1800,81
20180405,1900,93
20180405,2000,25
20180405,2100,37
20180405,2200,0
20180405,2300,17
20180406,0,56
20180406,100,85
20180406,200,64
20180406,300,8
20180406,400,75
20180406,500,15
20180406,600,63
20180406,700,7
20180406,800,30
20180406,900,13
20180406,1000,26
20180406,1100,24
20180406,1200,29
20180406,1300,42
20180406,1400,84
20180406,1500,39
20180406,1600,85
20180406,1700,80
20180406,1800,29
20180406,1900,11
20180406,2000,93
20180406,2100,36
20180406,2200,2
20180406,2300,21
20180407,0,43
20180407,100,21
20180407,200,24
20180407,300,58
20180407,400,1
20180407,500,94
20180407,600,97
20180407,700,10
20180407,800,45
20180407,900,2
20180407,1000,15
20180407,1100,76
20180407,1200,54
20180407,1300,21
20180407,1400,82
20180407,1500,5
20180407,1600,40
20180407,1700,7
20180407,1800,55
20180407,1900,71
20180407,2000,36
